Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
CORPORATE,Non Service Directorate,09/05/16,31/03/17,DEVON COMMUNITY FOUNDATION,40008789,3rd year of 3 years' support for Fund Development,"25,000.00",Revenue
PEOPLE,CSWCP,04/08/16,01/08/16,OKEHAMPTON BATTLE OF THE BANDS,none,3 heat talent competition - for staging,"1,000.00",Revenue
PEOPLE,CSWCP,04/08/16,01/10/16,ALE & CAKE,none,Equipment & food safety training,"1,000.00",Revenue
PEOPLE,CSWCP,04/08/16,31/03/17,BARNSTAPLE FC,,Aiming High for Disabled Grant,"4,532.20",Revenue
PEOPLE,CSWCP,08/08/16,01/04/2016-31/03/2017,SOMERSET WILDLIFE TRUST,238372,DEFRA Funded Sustainable Development Fund Grant - Final Claim,"1,215.06",Revenue
PEOPLE,CSWCP,08/08/16,01/11/16,PETER TAVY YOUTH CLUB,none,Residential weekend for youth people,125,Revenue
PEOPLE,CSWCP,12/08/16,03/05/17,The Woolwell Centre,1290,Building improvements,"3,000.00",Capital
PEOPLE,CSWCP,19/08/16,September 2016 - March 2017,WEST DEVON COMMUNITY & VOLUNTARY,Charity 1119730,develop & maintain services of older people - room hire,122.55,Revenue
PEOPLE,CSWCP,19/08/16,01/09/16,MOOR FM COMMUNITY RADIO CIC,Company 9198155,additional equipment so we can provide more training to the community to expand current work with turning tides Project,"1,500.00",Revenue
PEOPLE,CSWCP,19/08/16,31/03/17,Visit Devon CIC,10085899,Contribution to Visit Devon,"6,000.00",Revenue
PEOPLE,CSWCP,05/09/16,01/03/17,1ST NEWTON ABBOT KINGSTEIGNTON,269839,to purchase a trailer for transport for camping equipment,500,Revenue
PEOPLE,CSWCP,14/09/16,21/09/16,WEST DEVON ART WORKSHOPS,none,"funding for tactile acoustic board, interactive bubble & accessories",400,Revenue
PEOPLE,CSWCP,16/09/16,03/05/17,The Turning Tides Project -,1323,Purchase of media equipment,"1,000.00",Capital
PEOPLE,CSWCP,05/10/16,01/12/16,STOKE FLEMING DEFIB FUND,none,to install in the village hall,300,Revenue
PEOPLE,CSWCP,11/10/16,2016/17,REFUGEE SUPPORT GROUP (DEVON),1143884,Syrian refugee support,"26,930.00",Revenue
PEOPLE,CSWCP,11/10/16,2016/17,HIKMAT SAHARA,7809035,Syrian refugee support,"4,362.00",Revenue
